Spotid	Genesymbol 	0.5hours	1hours	2hours	4hours	6hours
67	YOL050C	2.06	-0.09	-0.56	-0.31	-1.16
68	YNL141W	-2.84	-0.89	-0.06	0.37	0.21
69	YMR290C	-3.64	-0.84	-0.43	-0.67	-0.92
70	YJL034W	-1.15	-0.62	-0.84	-0.1	2.04
71	YLR009W	-2.94	-0.84	0.25	0.25	-0.12
72	YNL162W	-3.06	-1.22	-0.12	0.12	-0.2
73	YDR101C	-3.18	-0.94	-0.43	-0.01	-0.34
74	YOL010W	-3.06	-0.39	-0.08	-0.09	0.1
75	YDR234W	-1.12	1.16	1.07	2.03	1.56
76	YOL149W	-0.18	1.54	-0.73	0.11	-1.6
77	YGR262C	-0.6	-0.47	2.54	0.62	0.2
78	YGR214W	-3.18	-1.74	-0.32	-0.04	-0.32
79	YOL155C	2.13	-0.39	-0.07	-0.08	-1.01
80	YJR111C	0.18	0.71	0.58	0.24	3.32
81	YNL132W	-4.06	-1.51	-1.06	-1.6	-0.92
82	YMR131C	-3.32	-0.81	-0.18	-0.27	-0.47
83	YOR129C	1.7	-0.34	-0.5	-0.89	-1.43
84	YGL029W	-2.74	-0.09	0.38	0.07	-0.51
85	YFR015C	2.66	-0.17	-0.45	-0.06	-0.23
86	YJL190C	-3.18	-1.94	-0.14	-0.07	-0.54
87	YLL062C	3.07	1.13	0.37	-0.03	0
88	YMR150C	2.34	-0.43	-0.76	0.07	-0.09
89	YDR202C	1.02	-0.32	2.77	0.49	0.54
90	YMR143W	-2.94	-1.84	-0.45	0.15	-0.27
91	YOR272W	-2.96	-0.89	-0.12	0.13	-0.06
92	YOR310C	-3.25	-1.16	-0.16	-0.43	-0.57
93	YOR294W	-2.94	-0.4	0.15	-0.15	-0.19
94	YEL011W	3.24	1.61	0.16	0.39	1.04
95	YLL008W	-3.18	-1	-0.1	-1	-0.22
96	YKL006W	-3.06	-1.56	-0.04	0.01	-0.36
97	YOR312C	-2.61	-1.47	-0.3	0.45	-0.23
98	YPL198W	-2.89	-1.44	-0.37	0.17	-0.19
99	YOR293W	-3.06	-1.45	-0.02	0	-0.36
100	YKL009W	-3.18	-0.74	-0.29	-0.12	-0.43
101	YNL194C	2.03	0.03	-0.17	-0.17	-1.03
102	YDR450W	-2.74	-1.22	-0.34	0.31	-0.43
103	YMR116C	-2.84	-1.74	0.21	-0.01	-0.38
104	YDR496C	-2.86	-0.46	0.19	-0.6	-0.75
105	YNL061W	-2.84	-0.38	0.21	-0.56	-0.38
106	YAL025C	-3.32	-1	-0.38	-0.27	-0.54
107	YPL043W	-3.34	-0.73	-0.29	-0.77	-0.76
108	YMR206W	2.42	0.25	-0.34	-0.06	-0.62
109	YLR061W	-2.74	-1.51	-0.14	0.3	-0.15
110	YIL019W	-2.64	-0.86	0.4	-0.49	-0.6
111	YEL026W	-2.84	-0.94	-0.25	0.2	-0.34
112	YER126C	-2.94	-0.84	0.1	-0.43	-0.29
113	YLR149C	2.59	0.52	-0.43	-0.32	0.1
114	YLR325C	-2.84	-1.64	0.18	-0.07	-0.22
115	YJL188C	-2.56	-1.18	0.04	0.46	-0.12
116	YNL067W	-2.64	-1.4	-0.38	0.37	-0.06
117	YKL029C	-1.36	1.65	1.08	0.73	-0.34
118	YJR018W	-0.17	0.44	-0.22	-0.42	2.58
119	YHR176W	3.53	1.36	0.53	0.56	1.12
120	YGR154C	3	1.18	0	0.18	0.26
121	YOL158C	2.06	0.75	0.81	1.12	-0.94
122	YDL083C	-2.94	-1.47	-0.2	0.06	-0.34
123	YKL191W	-2.94	-1.18	0.06	-0.76	-0.69
124	YNL119W	-2.74	-1.22	-0.3	0.25	0.1
125	YGL147C	-3.06	-1.32	-0.36	-0.07	-0.45
126	YFL014W	3.65	3.23	1.39	1.01	0.66
127	YBR084C-A	-2.84	-1.29	-0.2	0.14	-0.29
128	YCR057C	-3.18	-0.81	-0.2	-0.45	-0.47
129	YOL064C	3.85	1.79	1.6	1.04	0.88
130	YLR344W	-2.64	-1.32	-0.51	0.33	-0.01
131	YPL095C	-0.24	-0.55	0.48	1.61	2.41
132	YLR327C	2.64	0.93	-0.32	0	-0.27
133	YNL301C	-2.64	-1.69	-0.27	0.31	-0.42
134	YDR025W	-2.64	-1.43	-0.22	0.31	-0.3
135	YHR141C	-2.64	-0.67	0.07	0.31	-0.27
136	YOL060C	2.3	-0.64	0.25	0.68	-0.62
137	YHR088W	-2.56	-0.49	0.37	-0.34	-0.17
138	YNL175C	-3.18	-1.03	-0.25	-0.92	-0.97
139	YBR072W	0.38	0.81	0.33	2.48	3.26
140	YDR120C	-2.74	-0.86	0.18	-0.36	-0.38
141	YMR230W	-2.84	-1.06	0.08	-0.27	-0.43
142	YLR129W	-3.32	-0.84	-0.4	-0.86	-0.67
143	YNL002C	-2.94	-0.74	-0.03	-0.22	-0.51
144	YGR034W	-2.84	-1.18	0.07	0.07	-0.01
145	YOR374W	3.83	2.43	0.93	1.58	0.94
146	YPR044C	-2.78	-1.5	-0.38	0.12	-0.56
147	YBL092W	-2.84	-1.25	-0.34	0.06	-0.36
148	YIL018W	-2.84	-1.15	-0.45	0.06	-0.43
149	YGR103W	-2.94	-0.84	-0.04	-0.27	-0.81
150	YBR267W	-2.84	-0.62	0.06	-0.1	-0.38
151	YKL030W	-0.67	2.22	1.59	1.34	0.88
152	YLR409C	-3.06	-0.76	-0.18	-0.43	-0.17
153	YLR449W	-3.32	-1.32	-0.43	-1.6	-1.12
154	YJR094W-A	-2.74	-1.6	-0.1	0.14	-0.62
155	YEL039C	2.61	1.33	-0.03	0.37	-0.27
156	YOR116C	-2.77	-1.18	0.11	-1.22	-0.23
157	YLR142W	3.41	1.2	2.92	4.07	3.72
158	YDL060W	-2.25	0.62	0.44	-0.3	-0.32
159	YOR309C	-3.21	-1.14	-0.34	-0.66	-0.69
160	YLR092W	4.39	2.83	2.69	1.52	1.94
161	YDR471W	-2.74	-1.29	0.01	0.12	-0.23
162	YGL171W	-3.18	-1.22	-0.32	-0.47	-0.71
163	YIR034C	1.16	3.57	2.1	0.71	1.12
164	YDL181W	3	0.14	0.39	1.22	1.06
165	YJL144W	2.71	1.19	-0.15	0.19	0.86
166	YOL046C	0.29	0.56	0.51	-1.22	-2.3
167	YOR206W	-3	-0.34	-0.14	-0.63	-0.7
168	YLR438W	1.76	0.39	-1.09	-0.38	-0.76
169	YLR062C	-2.74	-1.51	-0.49	0.11	-0.56
170	YDL182W	0.14	2.99	1.99	1.84	1.5
171	YER131W	-2.74	-1.32	-0.4	0.11	-0.3
172	YBR285W	3.01	0.74	0.16	0.41	0.42
173	YGR248W	3.2	1.48	0.36	0.91	0.58
174	YJL189W	-2.64	-0.47	-0.38	0.2	-0.12
175	YJR010W	5.89	3.84	3.58	3.05	3.22
176	YCL059C	-2.84	-0.56	0	-0.23	-0.6
177	YOL141W	0.56	1.09	0.73	-1.74	-0.23
178	YOR089C	0.91	1.48	0	0.19	-1.35
179	YPL143W	-2.84	-1.62	-0.55	-0.01	-0.5
180	YNR050C	1.25	3.39	1.23	1.04	0.57
181	YOL138C	-0.9	-0.17	-1.05	-2.99	-1.29
182	YML060W	-2.74	-0.51	-0.2	0.08	-0.54
183	YBR225W	0.51	1.9	-0.17	-0.92	-0.42
184	YPR112C	-2.61	-0.42	0.21	-0.66	-0.79
185	YMR040W	1.21	-0.04	-0.62	0.32	2.19
186	YJL212C	1.78	-0.47	-0.64	-0.56	-1.03
187	YLR388W	-2.74	-1.64	0.07	-0.03	-0.47
188	YGL135W	-2.74	-1.6	0.07	0.03	-0.23
189	YDR171W	2.62	0.77	-0.18	1.12	1.82
190	YLR258W	2.74	0.86	-0.06	0.69	0.82
191	YHR203C	-2.64	-1.64	0	0.16	-0.14
192	YMR049C	-3.47	-0.86	-0.67	-1	-0.94
193	YLR368W	0	-0.12	-0.42	2.38	0.37
194	YOL143C	-1.06	-1.72	1.08	0.94	-0.78
195	YKR092C	-2.84	-1.03	-0.04	-1.32	-1.06
196	YDR087C	-2.84	-0.94	-0.04	-0.18	-0.34
197	YGL076C	-2.56	-1.47	-0.51	0.23	-0.3
198	YPL211W	-3.19	-1.72	-0.94	-0.4	-0.76
199	YNL069C	-2.74	-1.56	-0.36	0.04	-0.25
200	YDR083W	-2.64	-0.71	0.14	-0.23	-0.62
201	YMR196W	2.61	1.51	-0.17	0.15	0.21
202	YHL022C	2.32	-0.06	0.85	-0.45	-0.09
203	YOL164W	1.55	0.73	0.24	0.62	-1.22
204	YLR074C	-2.12	-0.18	0.52	0.65	0.11
205	YIR017C	4.57	3.07	1.81	1.82	2.7
206	YNL308C	-2.64	-0.56	0.12	-0.09	-0.27
207	YDL167C	-3.06	-0.94	-0.3	-0.58	-0.74
208	YOL039W	-2.74	-0.01	0.02	-0.6	-0.33
209	YER042W	2.65	0.32	-0.1	0.3	0.45
210	YGL216W	0.26	2.15	0.33	-0.6	-0.4
211	YBR162W-A	-2.12	-0.51	-0.12	0.54	0.63
212	YMR316W	0.85	-0.32	-0.62	0.73	2.12
213	YOR178C	0.89	-0.56	-0.03	2.18	0.36
214	YDR516C	2	0.14	-0.22	-0.74	-0.38
215	YKL064W	1.52	0.56	0.03	-1.22	-0.58
216	YER117W	-2.56	-1.29	0.04	0.18	-0.23
217	YGR123C	-3.06	-1.22	-0.32	-0.67	-0.71
218	YGR194C	2.34	0.2	-0.4	0.42	0.63
219	YDR149C	0.42	0.1	0.01	-2.32	-1.74
220	YNL124W	-2.32	-0.64	-0.18	0.42	-0.14
221	YLL045C	-2.84	-1	-0.1	-0.18	-0.32
222	YPL181W	0.22	1.04	1.03	-0.1	-1.69
223	YDR417C	-2.64	-1.15	0.08	-0.09	-0.36
224	YGL078C	-2.64	-0.38	-0.14	0.08	-0.1
225	YER067W	1.98	0.54	-0.74	0.38	-0.62
226	YPL163C	-1.95	0.33	0.27	0.46	0.77
227	YDR165W	-2.84	-0.4	-0.27	-0.12	-0.45
228	YGR043C	2.87	1.7	0.16	0.5	0.97
229	YOR052C	2.15	0.4	0.49	0.34	-0.56
230	YMR229C	-2.97	-1.04	-0.26	-2.17	-1.88
231	YOR023C	-1.87	0.84	-0.98	0.16	0.16
232	YIL094C	-0.07	2.64	1.78	2.08	1.53
233	YLR063W	-2.64	-0.81	0.07	-0.38	-0.15
234	YLR372W	-2.64	-0.38	-0.58	0.07	-0.07
235	YPL166W	2.06	0.27	-0.64	-0.09	0.75
236	YIL052C	-2.64	-1.47	0.06	-0.04	-0.18
237	YEL054C	-2.64	-1.12	-0.04	0.06	-0.6
238	YOL124C	-2	0.19	0.7	0.34	0.08
239	YMR247C	0.06	1.12	-0.53	-1.57	-0.62
240	YLL026W	1.9	0.38	-0.79	0	0.87
241	YBR079C	-2.84	-0.15	-0.67	-1.79	-1.12
242	YPL250C	3.87	2.82	1.74	1.19	1.46
243	YBR280C	1.36	0.38	-1.32	-0.18	0.28
244	YML035C-A	0.56	-0.2	0.16	-2.12	-0.86
245	YFR031C-A	-2.74	-1.4	-0.47	-0.06	-0.86
246	YBR266C	-2.56	0.12	0	-0.94	-1
247	YIL164C	2.68	1.44	0.01	0.32	0.59
248	YER102W	-2.74	-1.74	-0.34	-0.07	-0.27
249	YLR048W	-2.74	-1.36	-0.36	-0.07	-0.25
250	YPL223C	2.31	0.94	-0.36	0.17	0.96
251	YJR073C	-0.36	0.43	0.14	1.24	2.31
252	YGR128C	-2.94	-1.06	-0.27	-0.4	-0.54
253	YOR088W	1.24	-1.42	0.69	-1.25	0.15
254	YLR305C	-0.38	2	-0.21	-0.66	-0.46
255	YMR011W	0.34	0.77	0.53	-1.09	-1.89
256	YBR189W	-2.12	-0.89	0.54	-0.04	-0.45
257	YFL045C	-2	-0.34	-0.25	0.52	0.66
258	YGR027C	-2.56	-0.71	-0.14	0.1	-0.17
259	YNL178W	-2.47	-1.79	-0.18	0.18	-0.62
260	YOR146W	-2.12	0.07	-0.1	0.53	0.11
261	YKL158W	0.19	0.4	0.15	-2.25	-0.32
262	YJL098W	-2.4	0.25	-0.18	-0.15	-0.25
263	YMLW	2.74	0.91	0.1	0.41	0.69
264	YOR056C	-1.6	0.11	-0.79	1.04	-0.38
265	YML026C	-2.64	-1.64	-0.15	0	-0.76
266	YLR264W	-2.56	-1.32	-0.12	0.08	-0.3
267	YDL148C	-2.25	-0.07	0.39	-0.76	-0.71
268	YHR052W	-2.64	-0.49	0	-0.09	-0.43
269	YKL165C	-1.44	-0.05	-0.64	-0.86	1.2
270	YDR418W	-2.32	-1.22	0.32	0	-0.18
271	YOR389W	-0.39	-0.27	-0.28	1.3	2.24
272	YDR497C	-0.17	-0.51	0.25	0.55	2.12
273	YPR002W	1.37	3.19	1.98	1.22	0.56
274	YJR037W	1.34	-0.17	-0.03	-1.29	0.28
275	YOL163W	2.67	1.22	0.46	0.58	0.04
276	YBL012C	-1.09	-0.69	-0.71	-3.32	-1.4
277	YDR012W	-2.25	-1.32	-0.03	0.38	-0.38
278	YDL082W	-2.4	-1.32	0.23	0.08	-0.34
279	YPL061W	1.37	0.19	-0.21	-0.52	-1.25
280	YCL054W	-2.18	-0.07	0.44	-0.69	-0.84
281	YIR026C	-2.94	-1.47	-0.32	-0.56	-0.71
282	YLR003C	-2.12	-0.49	0.14	0.5	-0.54
283	YKL091C	2.62	1.24	0.01	1.13	1.1
284	YBR286W	1.62	1.16	0.7	-0.99	-0.92
285	YCR034W	-2.12	-0.76	-0.18	0.49	0.48
286	YNL062C	-2.64	-0.76	-0.4	-0.18	-0.03
287	YFL055W	2.36	0.64	0.75	-0.25	0.03
288	YOR161C	1.93	-0.02	-0.13	0.21	-0.68
289	YPL044C	-2.84	-0.6	-0.23	-0.97	-0.85
290	YFR030W	4.86	3.47	3.23	2.26	2.42
291	YBR031W	-2	-1.6	-0.15	0.6	-0.29
292	YPL142C	-2.56	-1.69	0.04	-0.01	-0.39
293	YKL099C	-2.64	-0.58	-0.04	-0.36	-0.86
294	YMR014W	2.26	0.08	0.07	-0.29	-0.34
295	YIL133C	-2.74	-1.09	-0.17	-0.15	-0.32
296	YIL065C	1.18	-1.41	-0.84	-0.69	-0.54
297	YLR249W	-3.06	-1.12	-0.47	-0.49	-0.6
298	YLR073C	-2.56	-0.6	-0.58	0.03	-0.17
299	YAL022C	2.15	0.1	-0.38	-0.43	-0.3
300	YOL121C	-2.4	-1.36	0.18	-0.01	-0.36
301	YOR234C	-2.43	-1.03	-0.24	0.15	-0.14
302	YLL044W	-2.94	-1.4	-0.43	-0.36	-0.49
303	YKR024C	-2.47	-0.62	0.11	0.1	-0.74
304	YPL186C	2.39	0.89	-0.18	0.41	0.9
305	YJR145C	-2.64	-1.79	-0.18	-0.09	-0.07
306	YJL177W	-2.74	-1.64	-0.42	-0.17	-0.45
307	YLR401C	-2.47	-0.49	0.1	-0.74	-0.4
308	YJL161W	2.57	0.55	0	1.75	1.39
309	YGR008C	2.48	0.7	-0.09	0.62	1.27
310	YJR096W	2.73	0.53	0.16	0.99	0.85
311	YJR009C	-1.15	0.08	0.65	1.42	0.99
312	YLR400W	-2	-0.56	0.23	0.57	-0.22
313	YOR001W	-1.94	-0.25	0.62	-0.32	-1.23
314	YGL189C	-2.56	-1.56	-0.1	0	-0.3
315	YMR142C	-2.56	-1.79	-0.01	-0.22	-0.42
316	YJL124C	-0.1	2.19	-0.36	0.24	0.03
317	YKR069W	3.63	2.46	1.09	1.52	1.44
318	YBR006W	2.34	1.33	0.73	-0.2	0.9
319	YLR448W	-2.25	-1.09	-0.51	0.29	-0.36
320	YBR181C	-2.64	-1.25	-0.1	-0.1	-0.6
321	YKR057W	-2.64	-1.22	-0.18	-0.1	-0.56
322	YKR056W	-2.47	-0.86	0.07	-0.81	-0.56
323	YHR001W-A	0.2	0.32	-0.96	-0.4	1.57
324	YPL274W	2.35	0.22	-0.06	-0.18	0.49
325	YLR185W	-2.47	-1.4	0	0.06	-0.32
326	YMR242C	-2.56	-1.4	-0.34	-0.03	-0.38
327	YJL122W	-2.25	-0.84	0	0.28	-0.3
328	YJR059W	1.55	0.2	-0.1	-0.97	-0.3
329	YML056C	-2.94	-2.18	-0.97	-0.62	-0.42
330	YMR194W	-2.32	-1.29	0.2	-0.3	-0.29
331	YHR010W	-2.4	-1.29	-0.09	0.12	0.01
332	YOL077C	-2.31	-1	0.21	-0.43	-0.49
333	YOL166C	-0.81	1.14	-0.3	-1.38	-0.47
334	YNR014W	1.59	-0.04	-0.58	-0.92	-0.57
335	YPR026W	2.11	0.55	-0.3	-0.4	0.35
336	YFR048W	2.11	0.46	0.26	-0.4	-0.12
337	YJR039W	2	0.86	0.26	-0.03	-0.51
338	YJL114W	1.33	0.83	0.16	-1.18	-0.79
339	YNL044W	-1.29	-0.84	-0.56	0.43	1.22
340	YHL001W	-2.32	-1.4	0.08	0.19	-0.17
341	YHR021C	-2.32	-1.29	0.19	-0.2	-0.36
342	YIL127C	-2.4	-0.84	0.11	-0.3	-0.47
343	YNR059W	1.79	0.66	-0.71	0.32	0.08
344	YCL023C	-0.22	0.25	-0.36	-2.25	-1.29
345	YBR009C	-1.56	-0.36	0.51	0.94	0.78
346	YDL061C	-2.56	-1.32	-0.06	-0.07	-0.38
347	YLR167W	-2.4	-0.89	-0.45	0.1	-0.34
348	YBL002W	-1.6	-0.07	0.03	0.9	0.42
349	YML093W	-2.84	-0.43	-0.38	-0.76	-0.34
350	YBR182C	-0.03	-0.74	-0.12	0.78	1.75
351	YHL033C	-2.25	-1.18	0.24	0.07	-0.3
352	YCR072C	-2.74	-0.62	-0.25	-1.15	-0.79
353	YDR398W	-2.12	-0.04	0.37	-0.23	-0.12
354	YPR167C	4.93	3.37	2.44	3.07	2.61
355	YML130C	-0.34	-0.19	-0.34	0.02	2.15
356	YDR019C	1.92	2.69	2.55	0.78	0.2
357	YNL313C	-2.94	-0.45	-0.62	-0.49	-0.89
358	YGR189C	-1.36	0.26	0.14	0.54	1.12
359	YFR053C	2.44	1.43	-0.04	0.15	0.93
360	YCR099C	0.41	-0.38	2.1	-0.22	0.43
361	YNL191W	2.54	0.06	0.32	0.34	0.1
362	YMR227C	0.24	0.92	0.33	-1.56	-0.49
363	YAL064W	-0.18	1.77	0.2	-0.03	-0.71
364	YDR399W	-0.97	0.6	1.51	1.16	0.92
365	YPL080C	-0.41	0.07	0.67	2.06	0.22
366	YPL079W	-2.64	-1.73	-0.39	-0.17	-0.62
367	YCL036W	-1.89	-0.79	-0.3	0.58	-0.38
368	YER110C	-2.94	-1.79	-0.47	-1.29	-1
369	YJL052W	-1.09	0.1	0.84	1.38	1.06
370	YKL172W	-2.32	-0.17	0.15	-0.22	-0.51
371	YHR066W	-2.4	-0.15	0.07	-0.2	-0.36
372	YHR108W	-0.17	-0.62	1.84	0.14	0.03
373	YKL096W	0.52	-0.58	-1.25	-0.86	-1.94
374	YNL075W	-2.56	-0.76	-0.34	-0.1	-0.12
375	YBR247C	-2.56	-0.76	-0.14	-0.1	-0.47
376	YOR027W	1.2	-0.43	-1.25	0.14	-0.19
377	YGR155W	1.85	-0.17	-0.42	-0.6	-0.43
378	YDR509W	-0.54	0.11	-0.73	-1.92	-2.34
379	YGR211W	-2.47	-0.89	-0.03	-0.29	-0.43
380	YBL028C	-2.74	-1.06	-0.3	-0.32	-0.6
381	YOR003W	1.9	0.2	-0.54	0.82	0.85
382	YML024W	-2.4	-1.79	0.04	-0.56	-0.67
383	YIL064W	-2.84	-1.79	-0.4	-0.62	-0.84
384	YGL103W	-2.18	-1.43	-0.06	0.25	-0.15
385	YOR167C	-2.33	-1.54	0.1	0.08	-0.5
386	YDL153C	-2.25	-0.07	0.18	-0.62	-0.56
387	YPL086C	-2.56	-0.78	-0.49	-0.13	-0.64
388	YER070W	-2.25	0.04	0.18	-0.23	-0.14
389	YOR313C	0.17	-0.4	1.17	1.83	2.03
390	YOR079C	1.74	0.16	1	0.2	-0.69
391	YJR097W	-2.32	-0.43	0.11	-0.81	-0.4
392	YER127W	-2.32	-0.47	-0.09	0.11	-0.07
393	YLR165C	2.56	0.3	0.14	0.46	0.34
394	YGL158W	0.6	1.66	-0.25	-0.76	-0.04
395	YOR083W	0.83	0.34	1.8	-0.07	-0.62
396	YOL073C	0.17	-1.23	0.86	-1.56	-0.97
397	YDR388W	1.1	0.25	-0.27	-0.86	-1.32
398	YBL087C	-2.32	-1.32	0.1	0.04	-0.34
399	YDL050C	-1.74	-0.36	0.68	-0.32	-0.58
400	YDR077W	-0.56	-0.17	-0.79	0.08	1.62
401	YOR051C	-0.99	-0.51	0.46	-1.73	0.68
402	YOL127W	-2.12	-1.94	-0.58	0.29	-0.14
403	YOR091W	-2.12	0.1	0.29	0.07	-0.84
404	YNL182C	-2.56	-1.18	-0.32	-0.15	-0.69
405	YJR094C	-0.32	-1.12	-0.62	1.28	-0.4
406	YGL030W	-2.47	-1.6	-0.07	-0.25	-0.58
407	YDL056W	-1.32	1.08	0.37	0.31	0.07
408	YHR170W	-2.47	-1	-0.27	-0.07	-0.62
409	YOR055W	1.66	-0.74	-0.21	0.12	-0.05
410	YBR281C	1.66	0.46	0.04	-0.74	-0.4
411	YBR191W	-2.25	-1.12	0.12	0.15	-0.23
412	YCR073C	-2.06	-0.51	0.04	-0.74	0.34
413	YOL119C	1.61	2.25	0.81	-0.14	1.41
414	YNL096C	-2.56	-1.06	-0.34	-0.17	-0.32
415	YKR081C	-2.56	-0.94	-0.38	-0.17	-0.22
416	YIL074C	4.25	3.03	2.09	1.9	1.88
417	YOL156W	1.21	-0.14	-0.57	-0.3	1.8
418	YLR445W	0.15	-0.51	-0.64	1.73	0.41
419	YDR454C	-1.84	-0.97	-0.07	0.53	-0.03
420	YPR110C	-2.74	-1.09	-0.37	-0.47	-0.46
421	YFL052W	1.27	-0.38	-0.36	-0.67	-1.09
422	YPR163C	-2.22	-0.71	0.07	0.14	-0.36
423	YPL088W	-0.04	-0.1	0.19	0.44	2.26
424	YOR227W	1.39	0.24	-0.36	-0.97	-0.18
425	YLR333C	-2.4	-1.56	-0.54	-0.04	-0.09
426	YML073C	-2.4	-1.43	-0.43	-0.04	-0.54
427	YDR161W	-2.4	-1.22	-0.18	-0.04	-0.27
428	YJR002W	-2.27	-0.48	0.09	-0.25	-0.19
429	YOL165C	0.37	0.39	-1.7	0.23	0.65
430	YIL047C	1.59	-0.76	-0.45	0.51	0.41
431	YJL163C	1.9	0.08	-0.45	0.79	0.36
432	YBR012W-A	0.26	1.16	1.68	-0.67	-0.29
433	YEL047C	0.25	0.92	0	-1.43	-0.64
434	YDL081C	-2.12	-0.74	-0.07	0.23	-0.38
435	YOR207C	-2.29	-0.66	0.06	-0.41	-0.16
436	YLR222C	-2.47	-0.54	-0.25	-0.3	-0.12
437	YGR196C	0.16	-0.07	-0.09	2.26	0.61
438	YNL209W	-2.84	-1.89	-0.86	-0.49	-0.84
439	YLR281C	0.72	0.34	0.43	-1.62	-0.99
440	YOR186W	1.12	0.17	-0.14	-0.01	-1.22
441	YLR367W	-2.4	-1.74	-0.27	-0.06	-0.45
442	YML063W	-2.4	-1.36	-0.2	-0.06	-0.47
443	YER053C	2.77	0.81	0.44	0.7	1.14
444	YDR384C	-0.89	0.21	0.54	-0.42	-1.79
445	YLR339C	-2.84	-1.74	-0.76	-0.51	-0.67
446	YAL003W	-2.25	-0.94	-0.09	0.08	-0.15
447	YHR148W	-1.94	-0.36	0.39	0.33	0.04
448	YDR253C	3.29	1.76	1.29	1.76	0.97
449	YOL047C	1.77	0.74	-0.55	0.49	0.01
450	YDL183C	0.01	2.33	0.79	0.45	0.23
451	YBR294W	5.14	4.34	4.16	2.96	2.82
452	YER081W	4.5	3.65	3.16	2.4	2.18
